rank,city,state,population,latitude,longitude
1,New York,NY,8772978,40.7127281,-74.0060152
2,Los Angeles,CA,3889834,34.0536909,-118.242766
3,Chicago,IL,2741730,41.8755616,-87.6244212
4,Houston,TX,2300027,29.7589382,-95.3676974
5,Phoenix,AZ,1611345,33.4484367,-112.0741417
6,Philadelphia,PA,1601005,39.9527237,-75.1635262
7,San Antonio,TX,1438227,29.4246002,-98.4951405
8,San Diego,CA,1385394,32.7174202,-117.1627728
9,Dallas,TX,1303234,32.7762719,-96.7968559
10,San Jose,CA,1010908,37.3361905,-121.890583
11,Austin,TX,963121,30.2711286,-97.7436995
12,Jacksonville,FL,950463,30.3321838,-81.655651
13,Fort Worth,TX,922592,32.753177,-97.3327459
14,Columbus,OH,905860,39.9622601,-83.0007065
15,Indianapolis,IN,887382,39.7683331,-86.1583502
16,Charlotte,NC,876747,35.2272086,-80.8430827
17,San Francisco,CA,870014,37.7790262,-122.419906
18,Seattle,WA,738172,47.6038321,-122.3300624
19,Denver,CO,717630,39.7392364,-104.9848623
20,Washington,DC,690093,38.8950368,-77.0365427
21,Nashville,TN,689248,36.1622767,-86.7742984
22,Oklahoma City,OK,682760,35.4729886,-97.5170536
23,El Paso,TX,678598,31.7754152,-106.464634
24,Boston,MA,674272,42.3602534,-71.0582912
25,Portland,OR,652388,45.5202471,-122.6741949
26,Las Vegas,NV,643292,36.1672559,-115.148516
27,Detroit,MI,638176,42.3315509,-83.0466403
28,Louisville,KY,632037,38.2542376,-85.759407
29,Memphis,TN,631326,35.1335022,-89.9668758
30,Baltimore,MD,583132,39.2908816,-76.610759
31,Milwaukee,WI,576301,43.0349931,-87.922497
32,Albuquerque,NM,564648,35.21287095,-106.7132485
33,Fresno,CA,542159,36.7295295,-119.7088613
34,Tucson,AZ,541859,32.2228765,-110.9748477
35,Sacramento,CA,523416,38.5810606,-121.493895
36,Kansas City,MO,507932,39.100105,-94.5781416
37,Mesa,AZ,505860,33.4151117,-111.8314792
38,Atlanta,GA,499586,33.7489924,-84.3902644
39,Omaha,NE,491168,41.2587459,-95.9383758
40,Colorado Springs,CO,480213,38.8339578,-104.825348
41,Raleigh,NC,467425,35.7803977,-78.6390989
42,Long Beach,CA,464759,33.7690164,-118.191604
43,Virginia Beach,VA,459373,36.8529841,-75.9774183
44,Miami,FL,441889,25.7741728,-80.19362
45,Oakland,CA,439341,37.8044557,-122.2713563
46,Minneapolis,MN,429014,44.9772995,-93.2654692
47,Tulsa,OK,412629,36.1556805,-95.9929113
48,Bakersfield,CA,403401,35.3738712,-119.0194639
49,Wichita,KS,397117,37.6922361,-97.3375448
50,Arlington,TX,393985,32.701939,-97.10562379
51,Aurora,CO,386580,39.7405111,-104.8309947
52,Tampa,FL,383980,27.9477595,-82.458444
53,New Orleans,LA,383282,29.9759983,-90.0782127
54,Cleveland,OH,372032,41.4996562,-81.6936813
55,Honolulu,HI,349800,21.304547,-157.855676
56,Anaheim,CA,347089,33.8347516,-117.911732
57,Lexington,KY,322403,38.0464066,-84.4970393
58,Stockton,CA,320745,37.9577016,-121.2907796
59,Henderson,NV,319055,36.0301134,-114.9826194
60,Corpus Christi,TX,317852,27.7951482,-97.3942053
61,Riverside,CA,314655,33.9459413,-117.4102444
62,St. Paul,MN,310942,44.9497487,-93.0931028
63,Newark,NJ,310350,40.735657,-74.1723667
64,Cincinnati,OH,310113,39.1014537,-84.5124602
65,Santa Ana,CA,309888,33.7494951,-117.8732213
66,Orlando,FL,307603,28.5421109,-81.3790304
67,Irvine,CA,306389,33.6856969,-117.8259819
68,Pittsburgh,PA,302777,40.4416941,-79.9900861
69,St. Louis,MO,300528,38.6264256,-90.1995853
70,Greensboro,NC,297808,36.0726355,-79.7919754
71,Jersey City,NJ,291927,40.7215682,-74.047455
72,Lincoln,NE,291383,40.8088861,-96.7077751
73,Anchorage,AK,290637,61.2163129,-149.894852
74,Plano,TX,286668,33.0136764,-96.6925096
75,Durham,NC,284400,35.9825698,-78.90918653
76,Buffalo,NY,277908,42.8867166,-78.8783922
77,Chandler,AZ,277556,33.3061605,-111.84125
78,Chula Vista,CA,276466,32.6400541,-117.0841955
79,Toledo,OH,270041,41.6529143,-83.5378173
80,Gilbert,AZ,269206,33.3527632,-111.7890373
81,Madison,WI,268846,43.074761,-89.3837613
82,North Las Vegas,NV,264216,36.2005843,-115.121584
83,Fort Wayne,IN,264169,41.0799898,-85.1386015
84,Reno,NV,264116,39.5261206,-119.8126581
85,St. Petersburg,FL,258658,27.7703796,-82.6695085
86,Lubbock,TX,257882,33.5635206,-101.879336
87,Irving,TX,256873,32.8295183,-96.9442177
88,Laredo,TX,255336,27.5236998,-99.497352
89,Chesapeake,VA,249679,36.7183708,-76.2466798
90,Winston-Salem,NC,249349,36.0998131,-80.2440518
91,Glendale,AZ,248797,33.5386858,-112.1859941
92,Garland,TX,245478,32.912624,-96.6388833
93,Scottsdale,AZ,241933,33.4942189,-111.9260184
94,Norfolk,VA,237591,36.8968052,-76.2602336
95,Boise City,ID,235829,43.6166163,-116.200886
96,Fremont,CA,231673,37.5482697,-121.988571
97,Spokane,WA,228850,47.6571934,-117.4235106
98,Santa Clarita,CA,228487,34.3916641,-118.542586
99,Richmond,VA,226670,37.5385087,-77.43428
100,Baton Rouge,LA,224480,30.4459596,-91.18738
101,Hialeah,FL,222153,25.8670439,-80.29146452
102,San Bernardino,CA,221784,34.8253019,-116.0833144
103,Tacoma,WA,219383,47.2495798,-122.4398746
104,Modesto,CA,218459,37.6390972,-120.9968782
105,Huntsville,AL,215043,34.729847,-86.5859011
106,Des Moines,IA,213699,41.5910323,-93.6046655
107,Yonkers,NY,210970,40.9312099,-73.8987469
108,Rochester,NY,210943,43.157285,-77.615214
109,Moreno Valley,CA,209213,33.937517,-117.2305944
110,Fontana,CA,208810,34.0922335,-117.435048
111,Fayetteville,NC,208576,35.0525759,-78.878292
112,Columbus,GA,206960,32.4610708,-84.9880449
113,Port St. Lucie,FL,206752,27.2939333,-80.3503283
114,Worcester,MA,206242,42.2625621,-71.8018877
115,Frisco,TX,202786,33.1506744,-96.8236116
